id,match_id,team1_name,team2_name,team1_players,team2_players,winner,created_at,updated_at,updated_by
16,F1SE6D,Driller Drug overdose,Austin's Python,"[""luvgramy"",""Vizinachi"",""ryuuto"",""4444"",""CuteDistraction""]","[""David"",""Unkie Driller"",""TSM Meat Shark#NA1"",""Eli"",""S I L E N T""]",,2025-05-27 06:23:39.842549+00,,
17,2QBMHL,Chinese Tariffs,Shaved bootyhole,"[""Ign: Wreckboy"",""Vizinachi"",""luvgramy"",""S I L E N T"",""TSM Meat Shark#NA1""]","[""ryuuto"",""David"",""CuteDistraction"",""4444"",""Eli""]",team1,2025-05-27 06:31:40.232403+00,2025-05-27 07:14:21.515798+00,4444
18,5823K6,Marc Carney's butt,Autotune's cousin,"[""David"",""ryuuto"",""CuteDistraction"",""Vizinachi"",""TSM Meat Shark#NA1""]","[""luvgramy"",""Ign: Wreckboy"",""4444"",""Sable"",""Unkie Driller""]",team1,2025-05-27 07:17:03.491873+00,2025-05-27 08:10:14.241546+00,S I L E N T
19,9NV5K9,Driller Drug overdose,Austin's Python,"[""luvgramy"",""ryuuto"",""Vizinachi"",""CuteDistraction"",""TSM Meat Shark#NA1""]","[""David"",""Sable"",""Unkie Driller"",""S I L E N T"",""Ign: Wreckboy""]",,2025-05-27 08:11:59.807725+00,,
20,TUA8ZB,Austin's Python,Twasen and bumble,"[""David"",""Unkie Driller"",""S I L E N T"",""ryuuto"",""Sable""]","[""luvgramy"",""Vizinachi"",""CuteDistraction"",""TSM Meat Shark#NA1"",""Ign: Wreckboy""]",team1,2025-05-27 08:12:58.459948+00,2025-05-27 08:54:15.598238+00,S I L E N T
21,PHW0JO,Chinese Tariffs,Shaved bootyhole,"[""variableman#000"",""Tsawwassen"",""David"",""lucy"",""Unkie Driller""]","[""catattack64"",""Vizinachi"",""Sable"",""Ign: Wreckboy"",""HerbaThea""]",team2,2025-05-28 03:08:24.059749+00,2025-05-28 03:53:02.509382+00,Ign: Wreckboy
22,S5T89G,Chinese Tariffs,Shaved bootyhole,"[""way"",""S I L E N T"",""lucy"",""VoltaicViper09"",""catattack64""]","[""David"",""variableman#000"",""Vizinachi"",""Ign: Wreckboy"",""Tsawwassen""]",team1,2025-05-28 03:54:02.69364+00,2025-05-28 04:34:11.859084+00,S I L E N T
23,8CBGIY,RIP Solace,Silent is _____,"[""Zeitoun (Nabil) (He/Him)"",""dunk"",""ryuuto"",""David"",""luvgramy""]","[""4444"",""S I L E N T"",""Ign: Wreckboy"",""Sable"",""Unkie Driller""]",team2,2025-05-28 09:50:13.399421+00,2025-05-28 10:26:35.450401+00,S I L E N T
24,R573I3,Chinese Tariffs,Shaved bootyhole,"[""luvgramy"",""David"",""dunk"",""Unkie Driller"",""Ign: Wreckboy""]","[""Sable"",""4444"",""Tranquility"",""Cameron"",""Lumpia""]",team1,2025-05-28 10:35:53.864723+00,2025-05-28 11:17:08.523525+00,Ign: Wreckboy
25,CHD5Z9,Masala Party,Chinese Tariffs,"[""luvgramy"",""Tranquility"",""Unkie Driller"",""4444"",""Domo""]","[""dunk"",""Ign: Wreckboy"",""Cameron"",""Wilson"",""⪩𝘺𝘶𝘯𝘰⪨""]",team1,2025-05-28 11:28:56.864591+00,2025-05-28 12:13:53.9026+00,4444
26,RGMG3Y,Masala Party,Chinese Tariffs,"[""luvgramy"",""Tranquility"",""dunk"",""Cameron"",""Wilson""]","[""Unkie Driller"",""4444"",""Domo"",""⪩𝘺𝘶𝘯𝘰⪨"",""Lumi""]",team1,2025-05-28 12:23:16.919834+00,2025-05-28 13:05:35.91874+00,4444
27,HGXT90,Dried peen,My name is Ross,"[""variableman#000"",""Vizinachi"",""ryuuto"",""Blackman"",""Unkie Driller""]","[""Eli"",""Draxx"",""CyaNoobK0"",""Osaucejones"",""Rhapthorn2""]",team2,2025-05-29 06:31:32.534723+00,2025-05-29 07:40:07.212446+00,S I L E N T
